Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
43,1,1,-12357.38199775752,469.62122280000006,469.62122280000006
43,1,1,-12357.38199775752,309.136300875,309.136300875
43,1,1,-12357.38199775752,78.676256715,78.676256715
43,1,1,-12357.38199775752,216.24819143999997,216.24819143999997
43,1,1,-12357.38199775752,424.00127541,424.00127541
43,1,1,-12357.38199775752,722.14614359,722.14614359
44,1,1,-13812.21165841752,0.0,1454.82966066
44,1,1,-16466.01165841752,0.0,2762.5321406300004
44,1,1,-15819.823829477238,3299.9878289402773,4049.7679534000004
44,1,1,-18473.623829477237,0.0,5611.3115261
44,1,1,-18397.136998399084,2730.286831078153,7509.573995375
44,1,1,-17695.568677320935,3355.36832107815,8049.789421449999
44,1,1,-19040.26712124278,1309.1015560781534,7603.423230000001
44,1,1,-21694.06712124278,0.0,7834.31233029
45,1,1,-24347.86712124278,0.0,8990.0119944
45,1,1,-26546.67691516463,454.99020607815464,8084.0518864000005
45,1,1,-28825.497139086478,374.97977607815255,9160.71024654
45,1,1,-31479.297139086477,0.0,8694.94152636
45,1,1,-34133.09713908648,0.0,7199.724600515
45,1,1,-36600.15160355662,0.0,4891.9487445899995
45,1,1,-38269.60208802675,0.0,3277.7353061400004
45,1,1,-39296.46879999689,0.0,1840.5239417399998
46,1,1,-39296.46879999689,466.54082124999996,466.54082124999996
46,1,1,-39520.19396619189,0.0,223.725166195
46,1,1,-39520.19396619189,180.5035316,180.5035316
46,1,1,-39520.19396619189,200.81617964999998,200.81617964999998
46,1,1,-39520.19396619189,156.03634186,156.03634186
46,1,1,-39520.19396619189,568.91516738,568.91516738
46,1,1,-40882.62758139189,0.0,1362.4336152
46,1,1,-43274.24936836689,0.0,2391.621786975
47,1,1,-45928.04936836689,0.0,2758.48161312
47,1,1,-48581.84936836689,0.0,2856.732421725
47,1,1,-50070.86974555679,1164.7796228100974,3647.300485295
47,1,1,-52724.66974555679,0.0,4870.77498504
47,1,1,-52270.13362947864,3108.3361160781506,5966.910884129999
47,1,1,-48309.37631379364,6614.557315685,6614.557315685
47,1,1,-49313.030297715486,1650.1460160781508,6874.14815684
47,1,1,-49255.545946637336,2711.2843510781504,10032.377882475
48,1,1,-47913.89418055923,3995.4517660781057,14055.74039496
48,1,1,-46246.199909481074,4321.4942710781515,16162.671067764999
48,1,1,-48899.99990948108,0.0,10436.40055425
48,1,1,-51553.79990948108,0.0,5106.220678965
48,1,1,-54207.59990948108,0.0,3864.150755125
48,1,1,-56520.03737354108,0.0,2312.43746406
48,1,1,-57810.62562260108,0.0,1290.5882490600002
48,1,1,-58630.45250038108,0.0,819.82687778
49,1,1,-58630.45250038108,507.95121958000004,507.95121958000004
49,1,1,-58630.45250038108,343.80382042,343.80382042
49,1,1,-58630.45250038108,187.5764536,187.5764536
49,1,1,-58630.45250038108,223.69716252999999,223.69716252999999
49,1,1,-58630.45250038108,167.39182222000002,167.39182222000002
49,1,1,-58630.45250038108,662.015304495,662.015304495
49,1,1,-58630.45250038108,1784.23860459,1784.23860459
49,1,1,-58008.540457706076,3275.712042675,3275.712042675
50,1,1,-56812.23953466108,3850.100923045,3850.100923045
50,1,1,-59466.03953466108,0.0,3923.3114676
50,1,1,-62119.839534661085,0.0,4908.99696723
50,1,1,-58345.87067858292,6427.768856078151,6472.4737918499995
50,1,1,-53428.75279250477,7570.917886078151,7706.49266688
50,1,1,-52755.91148906449,3326.6413034402763,8401.445265499999
50,1,1,-55409.711489064495,0.0,9002.073567344998
50,1,1,-50680.61811798634,7382.893371078149,12716.112750835
51,1,1,-44789.373241908186,8545.044876078155,17430.47534403
51,1,1,-39301.180905830035,8141.992336078151,19181.764656479998
51,1,1,-37315.44517475188,4639.535731078152,12182.806226325
51,1,1,-39969.245174751886,0.0,5947.15930892
51,1,1,-41748.000203673735,875.0449710781495,4401.071751715001
51,1,1,-44363.30515118373,0.0,2615.30494751
51,1,1,-45796.38197633373,0.0,1433.0768251499999
51,1,1,-45796.38197633373,896.9329296999999,896.9329296999999
52,1,1,-45796.38197633373,543.72088275,543.72088275
52,1,1,-45796.38197633373,363.21235064,363.21235064
52,1,1,-45796.38197633373,195.3694696,195.3694696
52,1,1,-45796.38197633373,229.56892804,229.56892804
52,1,1,-45796.38197633373,171.14431145,171.14431145
52,1,1,-45796.38197633373,673.4407939499999,673.4407939499999
52,1,1,-45796.38197633373,1805.7134038799998,1805.7134038799998
